,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=85deg,2.8599584516763126,2.925345885958062,2.896937467291699,2.9257974588171454,2.8764725567916614,2.9658387966132382,3.0339169474850127,3.048602752638992,3.0498441456108614,3.0880234104880895,3.076362813228452
phi2=90deg,2.8626230906611587,2.913887439934303,2.892836372587981,2.9637335875527517,2.971310858162563,3.0282463608170787,3.0251619903753424,3.0479558220305076,3.1250867331175143,3.123423130914469,3.087991252528979
phi2=95deg,2.8636898707365352,2.9065387952442094,2.9059731564337588,2.94373873254067,2.9366636360989684,2.9558905888274483,2.9989612228087,3.0110880556404815,3.002701453409129,3.1415956155743636,3.0497230569345923
phi2=100deg,2.8139057946675488,2.9820224887233384,2.9361309416672112,2.919630554415563,2.938265739584699,2.860968676703421,3.0222723239718254,3.0085675442473514,2.9335097319112178,3.0621429056340954,2.9934897698960308
phi2=105deg,2.8342769606546723,2.975596695361072,2.8467088889092897,2.9824443167137344,2.9165246108372807,2.9616009915479085,2.9027192834413875,3.0007173930515245,2.9800669439176852,2.945480091073773,3.0953193085436697
phi2=110deg,2.841020874070492,2.967836864736805,2.845394562187505,2.848341187678193,2.979752086933061,2.9146672787958874,2.9912247173644992,2.9921001562564777,3.01245625878069,3.057278588062772,3.071558193525278
phi2=115deg,2.9030697590658416,2.9320791650798252,2.927130155957226,2.918113008142307,2.9287140774557043,2.838796053831378,2.944450918424044,2.9929659619387188,3.1362165557776116,3.1233825845441663,3.084162773082488
phi2=120deg,2.8523906860612884,2.892659346141876,2.985794268652885,2.9998527711777556,2.940156457348724,2.995965900650278,3.0267338186561137,2.9635978844060764,3.056882675058077,2.985028606641742,2.9706922898168866
phi2=125deg,2.904880121537148,2.9443199482634315,2.912597849324395,3.0294180148912506,2.946358713304597,3.000648830784008,2.950381327995852,3.066172916300543,3.0199680950932652,3.0263117722708035,3.064202614356299
phi2=130deg,2.8591436649563553,2.905983432305148,2.887998346892688,2.9124027308695966,2.9578978287559803,2.985968849178051,2.9308974596280706,3.0766503874406377,2.9593950896610446,2.9562349466825713,3.1222607740439923
phi2=135deg,2.812619435627126,2.939089328947646,2.940736434031055,3.0029129138801305,3.0007444348977312,3.04473595512782,2.9669868660829026,3.003933912359073,3.0031037770815425,3.023384794477826,2.988401876430115
phi2=140deg,2.866040269336095,2.878645809659174,2.9266167819617537,2.984857387815561,2.9710481753585696,2.95755493987317,2.947643729746951,2.945720750236086,3.042648242700721,3.0323320650623007,3.045036044473128
phi2=145deg,2.865111602329954,2.9453408042765874,2.9645558698566608,3.0606251442118797,2.924203381937545,2.9689073236201726,2.9134842983670097,3.0331611572382604,3.0308700032771876,2.9985023216041835,3.038712015926584
phi2=150deg,2.9078667973662586,2.920627096910671,2.9534449404020284,2.900823483497018,2.9824517325390065,2.953252213310444,2.987599275931096,2.9973911363588606,3.0591620644355735,3.0153045923910557,3.051382352599628
phi2=155deg,2.923851083865494,2.91480411787415,2.959363396700917,2.968581583915715,3.011051030019585,3.022021327178299,3.0434739080009274,2.9754135246557016,3.0780647236942187,3.134238223124862,3.0655550160472025
phi2=160deg,2.8781644040952497,2.917636319444896,2.9351816967871436,3.025483023456526,3.024605364830128,3.0879965808953846,3.0036639045111544,3.073149385927575,3.0752287988686584,3.0125894357710887,3.060633018503654
phi2=165deg,2.9682330063950637,2.9911879418209124,2.9518613808419905,3.063122446113836,3.029118282021215,2.9181997595383944,3.029950083273606,3.035621803584414,3.1253546286445144,2.9995543377236924,3.024606214206859
phi2=170deg,2.9575104935620793,2.9820879814278403,2.936014158301833,2.8906904467573638,2.9961465906040052,2.9322370652736938,2.8893019433834697,3.009724943222448,3.0496192384950858,3.085098067876292,2.994557505048956
phi2=175deg,2.9666487185353683,2.9780500944415103,2.9361964589040133,2.8902779456029553,2.866713814745002,3.0298114781798677,3.0033883721397783,3.0233675360229006,3.033506182293756,3.0744763683362164,3.036822302320445
