,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=85deg,2.261056632985735,2.2564530346392195,2.126431699537944,1.9593589171639403,1.8799607224446726,1.6981726575193297,1.6782328964368882,1.5428446155179034,1.4997383122010577,1.5383772888426506,1.3970599266376158
phi2=90deg,2.2446784145818266,2.242454471813693,2.178238856405836,1.7814598226983525,1.8819162035238632,1.7564033464764446,1.71143508048794,1.613545012921146,1.4884920675837412,1.4851156241104084,1.4088344047345323
phi2=95deg,2.2548300632844565,2.2413354145542344,2.10255786851808,1.8851957950716647,1.7711342176856566,1.7110837726248471,1.6707513261574716,1.625645620814859,1.604635497532143,1.4432223828600148,1.3758591889060217
phi2=100deg,2.3813022675845774,2.312245374533633,2.3124760899621246,1.8216415976115883,1.7852156032503799,1.7517755729792446,1.6681084589326798,1.6202299464566958,1.497193517810753,1.5228176163789582,1.4306209471806557
phi2=105deg,2.4628636271749107,2.2559876869882562,2.0124304070082086,1.804694816820166,1.7984900072056043,1.898098670991993,1.8062188935797792,1.5391649415545403,1.5803346888466108,1.4500012473729937,1.4045399988158056
phi2=110deg,2.2883778594169564,2.120324354851508,2.2243189498575986,1.8000373001561312,1.8598145619212032,1.686810801335447,1.7235688867365448,1.610034410576597,1.4896129472760287,1.5030588409109031,1.4567155226121784
phi2=115deg,2.3186652406582637,2.160847862986811,2.0634984263269307,1.823570027067741,1.8381648649331024,1.6798891296448784,1.7356264064610265,1.6864618649791119,1.5044818530420638,1.5732064577932887,1.3752199603049369
phi2=120deg,2.29542564572644,2.108955287344551,2.150219164854992,1.8251786371947831,1.8760959039545693,1.6580046585773174,1.7293533627935802,1.6145957778223046,1.4125233088857385,1.4457404797457416,1.37270567893306
phi2=125deg,2.266715865959115,2.296924736204307,2.0462374039321416,1.8224658826051627,1.926829602415023,1.7939794123767143,1.6970522341864234,1.5917204919303747,1.594543793621287,1.483565241029928,1.4410077888653074
phi2=130deg,2.3280673996979298,2.3523372327647754,2.3276263689990886,1.8395112219933072,1.8499545362589216,1.768829033001536,1.6400688370452143,1.6275349763337426,1.5618006876076185,1.4333666469379445,1.3859611492167947
phi2=135deg,2.3792349397098804,2.2716863082892456,2.050646830644114,1.8642114381908497,1.8264779925621397,1.8169415761426557,1.7119741271959963,1.5833604871647513,1.5235160329790804,1.5250787881656183,1.3555024958710025
phi2=140deg,2.279640647860477,2.146137539894523,2.1604737590924614,1.809372616888805,1.7711760247011807,1.753255723543295,1.721513065873324,1.5446482061767062,1.4922104958975322,1.4733518182114953,1.4385801682205843
phi2=145deg,2.2916696073474694,2.081944025649201,2.1594899542321038,1.8873511569258796,1.8455201650325652,1.7219352696084738,1.693091302703388,1.6788150131398452,1.5026615315552838,1.5475110106999304,1.4521680424476617
phi2=150deg,2.2819130679155566,2.133058012740368,2.118184987025468,1.8141952775646173,1.8604506906444223,1.7785075205069203,1.670043395503868,1.6761038143053086,1.518487852913281,1.5360256294233507,1.410111797244138
phi2=155deg,2.2995045408978516,2.059500779487626,2.1579866940327372,1.8339133421891836,1.809452026095207,1.6934717052980226,1.6282074421811148,1.5833481169028907,1.5603196242098833,1.5165623753051545,1.3913601605491608
phi2=160deg,2.2615384073281497,2.363379181436395,2.3482099134155074,1.857261252673963,1.8653566470156162,1.7434863739702222,1.7041649513758914,1.5733461374041224,1.5373428013397619,1.5141081978522404,1.4063062220977227
phi2=165deg,2.2111797745599686,2.326512525297002,1.9646135286090838,1.8123943047480067,1.8963725616717795,1.6969464453327225,1.7459274672348661,1.6167813929067443,1.6051198716537893,1.4023336012114695,1.4028792057125485
phi2=170deg,2.3301078612481914,2.180625767956544,2.1230980316893406,1.9170772499789157,1.8304913042691782,1.7789569797095022,1.7379370979438493,1.5898504229002624,1.5106173272376548,1.4919858016820577,1.4351007388735346
phi2=175deg,2.2859315751658773,2.1515654233346337,2.072410721378669,1.8706156343493143,1.826025400251423,1.745012508214882,1.7802546177128495,1.5134283748489616,1.5232887040847358,1.5145943118899092,1.3845375133920337
