,Ad2=0.001,Ad2=0.0019,Ad2=0.0028,Ad2=0.0037,Ad2=0.0046,Ad2=0.0055,Ad2=0.0064,Ad2=0.0073,Ad2=0.0082,Ad2=0.0091,Ad2=0.01
phi2=85deg,2.27653484762576,2.4834820138377673,2.1963783049093055,2.2790145594322078,2.4091068663311606,1.7697181030028581,1.8252782669205212,1.7697183293856362,1.6730579013411855,1.5931965410235462,1.6301184068331014
phi2=90deg,2.3267785744726,2.227461297460212,2.2233962050258427,2.2884976751165573,2.096651091620591,1.865812329584077,1.7666913074337869,1.774890175109172,1.629326405651781,1.6456551865640996,1.618517520207359
phi2=95deg,2.471021787436329,2.8657256582607773,2.317033004896188,2.3079720534571,1.9612424991096575,2.00290263083192,1.9506025942368284,1.9618413802280663,1.7959138836411508,1.6485364159592122,1.6346695077011557
phi2=100deg,2.9515962110632437,2.757856205279476,2.3085092900950994,2.1385047980743317,1.8678732920792354,2.036219603699736,1.907780696054185,1.8972704617323426,1.8910671745977918,1.7283401692032536,1.670784659995361
phi2=105deg,3.078865530874082,2.326550297402124,2.109504341334454,2.176092015169685,2.166443062785048,1.9695302921747497,1.8933902098852495,1.7865263009862142,1.856629999474258,1.7673321919240772,1.652567072682784
phi2=110deg,2.6862604849307123,2.4891099023387384,2.199106149868441,2.204357946208124,2.0250029972262373,2.0965618788207374,1.8300148961788205,1.880008922521161,1.784220905620795,1.7225305011081458,1.6424589229547077
phi2=115deg,2.6076425525818507,2.338422908768201,2.3745959412314126,2.1609498294130485,2.0466595875878726,2.2062360645455064,1.8966637387943839,1.8763094848362987,1.8030142078852929,1.6545682458217519,1.5640417050289992
phi2=120deg,2.7724770893781843,2.4741664870457556,2.191972126639577,2.119793216045714,2.1445809218293044,1.8455352371917026,1.8576532371513919,1.7589480407385862,1.755515711604407,1.7145941814135002,1.6909504776603013
phi2=125deg,2.4866561351765966,2.195182414865504,2.2346551872631033,2.1113226661767843,2.172174728701097,2.093079308627218,1.8791550585399033,1.7372288523048716,1.8469433385126706,1.721223463387378,1.7238149925585702
phi2=130deg,2.6763308628939253,2.3995799343477326,2.32355798224751,2.145630984897709,2.0660327346205656,2.118983236310749,1.914426194560819,1.877309641498301,1.809789735548498,1.8460932781820238,1.612662332505988
phi2=135deg,2.7513438141734654,2.2895239685375985,2.1966479309375098,2.087756994580953,2.113676796996892,1.9644560990626319,1.883513591242493,1.8345748156536161,1.8159239031697019,1.696403676761106,1.7230871431657402
phi2=140deg,2.388559182130723,2.4509150049966846,2.0688851501191934,2.0849616507046242,2.1534578881188,2.1174792375471245,1.959334000794259,1.8686907716108836,1.8643363288523167,1.7045013844552162,1.6826498930736156
phi2=145deg,2.3856316253166376,2.384896918194246,2.2688837133253865,2.2632760111615333,2.118596008511121,1.9921472642185785,2.1046872128665854,1.773077022710359,1.7647978413095804,1.5926683292784283,1.6863852577878689
phi2=150deg,2.23164102775598,2.176359189285622,2.2354610778339796,2.2917816850029755,2.0442952549485134,1.9111262345237565,1.9098356638376737,1.7207224205425635,1.6929713394669257,1.7152284366643018,1.6150917874782948
